"","site","GreenArea_2016","GreenArea_2017","GreenArea_2018","humarea","Gr18m17.17Green","Gr17m16.16Green"
"1","10C",22.3283902557532,24.3646436244921,35.6851830038677,332.869745976192,0.464629795282364,0.0911957084866096
"2","10E",5.78348942264574,5.7380576712967,35.230949523883,101.663457694632,5.13987372419026,-0.00785542222505853
"3","1C",209.278567439408,224.48496521141,335.503544065262,1161.5821703767,0.494547947784833,0.0726610371910369
"4","1E",32.2705235761644,57.5917930543656,76.0975225219099,148.072706202425,0.32132580852406,0.784656295347622
"5","2C",81.981299403034,111.090129079292,179.763655999652,961.595898788073,0.618178478047708,0.355066702872735
"6","2E",139.948430182686,185.03830789703,235.036827365541,795.825628361397,0.270206315852899,0.322189235388244
"7","3C",5.0839617804977,5.22107978783743,15.0880045380618,39.2853611200783,1.88982454801965,0.0269706998714493
"8","3E",9.12270343072487,17.7764906704634,45.4862300857967,85.9202963202547,1.55878569786412,0.948598987729118
"9","4C",29.0871921310786,22.3919952121607,48.3977207408661,267.055772826794,1.16138491823998,-0.230176803891782
"10","4E",9.51754203904784,20.7090736765131,48.5375828563447,84.1126635300361,1.34378338763616,1.17588465504533
"11","5C",12.5545463827793,16.4554806601748,38.8545554201945,276.01272592673,1.36119237247378,0.310718855023406
"12","5E",11.0834286175311,13.4585951530978,32.7473661523222,483.593571492551,1.43319349306563,0.214298897708402
"13","6C",64.7923143826501,59.4662991498585,103.259940288538,666.88769191808,0.736444705064234,-0.0822013426058109
"14","6E",48.4503657293644,57.3545944381367,100.015540579329,388.06490835252,0.743810440281418,0.183780423010835
"15","7C",5.92902616051106,5.51365808442147,11.8179783210219,50.4473545787558,1.14340064981776,-0.0700567116495541
"16","7E",24.324301038343,24.2018593232533,40.6014452894815,79.5971258198871,0.67761677923941,-0.0050337197725323
"17","8C",33.4307801243085,41.2035027174097,54.4816589589614,286.578150139682,0.322257948131706,0.232501980635786
"18","8E",13.1265748759379,14.3191533957774,27.5866927173893,130.702459515689,0.926558921110815,0.0908522239130079
"19","9C",32.773290967546,35.2865316610441,43.3968772971771,144.346212768074,0.229842527852819,0.0766856369714861
"20","9E",40.0695992560227,46.6952074318413,50.3923632306469,132.189893212539,0.0791763438293359,0.165352494131139
