PlotID,Treatment,Combo,Location,GreenArea16,GreenArea17,GreenArea18,TotalHumArea,Gr18m17.17Green,Gr17m16.16Green,Mature1N17.17Green,Mature1N18.18Green
1C,C,NC,Near,209.278567,224.484965,335.503544,1157.940909,0.494547949,0.072661038,0.013363924,0.265272906
2C,C,NC,Near,81.981303,111.090087,179.763626,961.596,0.618178821,0.35506613,0.018003407,0.066754328
3C,C,NC,Near,5.083963,5.221083,15.088,39.1622,1.889821901,0.026971085,0,0.331389183
4C,C,NC,Near,29.087186,22.391982,48.39772,266.219,1.16138616,-0.230177096,0,0
5C,C,NC,Near,12.554549,16.455483,38.854563,275.147,1.361192497,0.310718768,0,0.154422017
6C,C,FC,Far,64.792316,59.466296,103.259971,664.8,0.736445313,-0.082201414,0.134529987,1.104009607
7C,C,FC,Far,5.929015,5.496394,11.817969,50.2895,1.150131341,-0.072966758,1.0916248,0.50770145
8C,C,FC,Far,33.430775,41.203496,54.481658,285.6810252,0.32225814,0.232501969,0.291237423,0.110128807
9C,C,FC,Far,32.773293,35.286546,43.396882,143.894,0.229842161,0.076686008,0.906861216,0.506948863
10C,C,FC,Far,22.3284,24.364636,35.685185,331.828,0.464630336,0.091194891,0.041043092,0.028022834
1E,E,NE,Near,32.270524,57.591738,76.0975,147.609,0.321326681,0.784654566,0.850816483,0.367949013
2E,E,NE,Near,139.948399,185.038297,235.03678,793.330875,0.270206135,0.322189452,0.075660013,0.178695437
3E,E,NE,Near,9.122706,17.776499,45.486228,85.651,1.558784382,0.948599352,1.293843068,1.011295111
4E,E,NE,Near,9.517548,20.70909,48.5376,83.8491,1.343782368,1.175885007,0.338015818,0.556269778
5E,E,NE,Near,11.083428,13.458598,32.468825,482.077,1.412496829,0.214299222,0,0
6E,E,FE,Far,48.450365,57.354583,100.015536,386.85,0.743810708,0.183780205,0.819463721,0.719888158
7E,E,FE,Far,24.32429,24.201809,40.6014,79.348,0.677618396,-0.005035337,0,4.605752511
8E,E,FE,Far,13.126574,14.319159,27.586699,130.293,0.926558606,0.090852724,1.745912592,2.754950855
9E,E,FE,Far,40.069598,46.695224,50.392376,131.776,0.079176234,0.165352944,1.927391975,1.051746399
10E,E,FE,Far,5.783488,5.73806,35.230968,101.345,5.139874452,-0.007854776,0.348549858,1.220517131
