Green Year 1"","term","df","sumsq","meansq","statistic","p.value"
"1","Treatment",1,0.478106297400606,0.478106297400606,7.65670562483326,0.0137427943657805
"2","Location",1,0.547327493610638,0.547327493610638,8.76525894291463,0.00920481382247347
"3","Treatment:Location",1,0.372237416040685,0.372237416040685,5.96125240907253,0.0266179856261821
"4","Residuals",16,0.999085133115103,0.0624428208196939,NA,NA
Green Year 2"","term","df","sumsq","meansq","statistic","p.value"
"1","Treatment",1,0.818182221577442,0.818182221577442,0.645451112684202,0.43351759147971
"2","Location",1,7.45828051608718e-05,7.45828051608718e-05,5.88372043643059e-05,0.993974680272533
"3","Treatment:Location",1,1.39511461190479,1.39511461190479,1.10058402007297,0.309726989525378
"4","Residuals",16,20.2818080068041,1.26761300042526,NA,NA
Fruit Year 1"","term","df","sumsq","meansq","statistic","p.value"
"1","Treatment",1,1.20196538961903,1.20196538961903,3.86120861190121,0.0670228837720276
"2","Location",1,1.11246291767433,1.11246291767433,3.5736897544998,0.0769546505124796
"3","Treatment:Location",1,0.00113924113082472,0.00113924113082472,0.00365971242047723,0.952510157981793
"4","Residuals",16,4.98068044669441,0.311292527918401,NA,NA
Fruit Year 2"","term","df","sumsq","meansq","statistic","p.value"
"1","Treatment",1,4.41087241118788,4.41087241118788,5.93629932481945,0.0268915592190795
"2","Location",1,4.68281532255167,4.68281532255167,6.30228917232074,0.0231820890100897
"3","Treatment:Location",1,2.31177736519993,2.31177736519993,3.11126714464938,0.0968341149536014
"4","Residuals",16,11.888544481566,0.743034030097874,NA,NA
